experiment,arm,policy,strategy,workers,prefix_cache,stale,seed,seconds,arrived,admitted,completed,completed_per_s,shed_pct,shed_by_router,ttft_p50_s,ttft_p99_s,routing_imbalance,kv_block_seconds,prefix_block_seconds,peak_blocks,preempts,wasted_decode_tokens,prefill_tokens,cached_prefill_tokens,in_flight_at_horizon
part2,fcfs,fcfs,least_loaded,1,False,,7,60.0,444,249,212,3.533333333333333,43.91891891891892,195,0.27746400000018134,11.54238800000018,0.0,393978.15130000387,0.0,8192,114,158,844077,0,37
part2,priority,priority,least_loaded,1,False,,7,60.0,444,374,342,5.7,15.765765765765765,70,0.13743100000039377,4.126162000000223,0.0,345911.1640500058,0.0,8192,17,125,643453,0,32
part2,drr,drr,least_loaded,1,False,,7,60.0,444,375,346,5.766666666666667,15.54054054054054,69,0.1853100000009178,2.4844320000005737,0.0,349557.7366500068,0.0,8192,10,524,612014,0,29
